name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
Horace Silver - Doodlin' (1954)-fhCinGFUCeU.mp3,123.046875, 366, 0.34025808208046815, 0.21086576581001282,1184.2076169255006, 1519.136031463892, 2304.451343075779, 0.02645647267439048,197.49692912433196,-21.230395458892925,26.055990911491865,14.409702544605864,-5.182747338897637,7.672265032237446,-2.509348602528762,-1.1743094802184497,-1.0380624822636297,-7.747934730881216,-5.075244689547066,Jazz
PERFIDIA  CHA CHA   CAL TJADER-0rjP5MPA3qs.mp3,127.8409090909091, 383, 0.40290986069864676, 0.07349631190299988,2539.9784855669236, 3088.33172402039, 5845.573040116141, 0.046439348733038045,156.00581894639703,-29.41056713821358,68.48368968272574,-19.836051610930998,18.535536318046606,-11.171158683244393,-2.550545896658235,2.2857085703171753,-8.007502445453374,6.355819569594943,-13.650358998925359,Jazz
Bud Powell - Collard Greens and Black Eyed Peas-N76ErzOdk9g.mp3,178.20581896551724, 516, 0.4027150437575819, 0.10613054782152176,1759.8879300542944, 2815.6120208884017, 3459.9693558164427, 0.028280094804163443,162.27952517170323,11.016469260695297,33.0683864732284,-2.7617256114103808,12.512403452252986,-3.1409918131931214,6.6247830791015145,-6.579180090955793,4.016664210066322,-3.648935339172017,3.69135177605395,Jazz
Milt Jackson - Bags Groove-w3TMe98FJDw.mp3,87.5926906779661, 260, 0.30380771059170886, 0.19652587175369263,2006.653712576701, 2503.4039975671603, 4187.821899036136, 0.044552640649187306,151.060341114779,-19.824050734057067,45.07019907359978,-6.314581846311352,4.767180243649328,8.835743419949921,-2.1969640708730913,-9.088491200171141,0.2193791534115494,0.39948103529243284,0.2770896638824665,Jazz
Thelonious Monk and John Coltrane - Trinkle Tinkle-6WjW5orDM2c.mp3,78.125, 230, 0.37390145127545693, 0.08057594299316406,2228.038803339959, 2482.5152239608865, 4987.275291093861, 0.04911300395161768,143.83063935917164,-31.2341231360455,49.2706114893665,0.18346027973020854,9.542110712810157,11.77144489267504,-14.271643557153824,14.262316494101771,-7.343680914808318,2.0382746315727243,7.737594727983293,Jazz
Thelonious Monk - Misterioso-a1WDW-swiAA.mp3,165.44117647058823, 484, 0.29769105206030017, 0.1444288194179535,1430.5240213303568, 1934.1148797668334, 2685.900557744726, 0.02945829483252844,178.45265361024957,-12.228901268980467,20.183187693832892,16.894352200907846,-0.07444822437482264,0.7576566230319809,-2.043192777959951,-4.684117584225808,-5.488941626434364,-0.6387544096186895,-2.7874857557816246,Jazz
Nat King Cole-(Get Your Kicks On) Route 66-lBbGRxSiYBs.mp3,140.625, 412, 0.37337490821778163, 0.09875807911157608,1091.8123010366348, 1473.5595785117641, 1841.9561248222328, 0.02484583668190033,179.4748648623155,10.740025115522878,11.006764043088086,8.711481388662834,-6.596889743271654,7.224714710247802,4.4160675143066,0.7760080582626511,3.733836283294885,1.7109755609338049,3.236550315266883,Jazz
Jimmy Smith _ Wes Montgomery _ OGD (aka Road Song)-L97XaO61d7k.mp3,156.25, 471, 0.39183268773640856, 0.09276415407657623,1217.4101669327936, 1968.0388372187995, 2312.3365837579995, 0.01986951120489156,180.07126023796232,7.967715890155758,45.64137812061786,-2.098044869841287,11.363638625241414,15.544704800909843,-12.91880118872793,9.981373773970594,-4.557475333968176,0.3358603898429303,4.145125117429361,Jazz
Cannonball Adderley - One for Daddy-O-u2xx3YTu2ac.mp3,108.17307692307692, 321, 0.35766440717838105, 0.1511176973581314,5163.093022752797, 4862.084476154418, 11272.341731601091, 0.11845047492555996,98.40551076456485,-8.279262750248655,51.240167405832764,-23.587769130252962,33.39888004747754,-21.073974117769346,18.491478760033132,-19.974948756683506,12.392776284203402,-14.195120745134966,1.6403348476533777,Jazz
Jazz Classics - Dizzy Gillespie - A Night In Tunisia-BQYXn1DP38s.mp3,89.28571428571429, 262, 0.30102817633822543, 0.0929008424282074,1949.0253184227308, 2047.037295897269, 3709.066314588765, 0.04804535888614008,170.66772130271562,-36.84087697301297,33.521501193365495,5.0401232900409845,-16.89784457512565,7.487744972060604,-0.5880324434400681,-8.78888471502595,-1.0619811394680432,-3.08943986521096,-5.068714676139676,Jazz
Herbie Hancock  Watermelon man-ZbHJHPTikQA.mp3,129.19921875, 388, 0.4023848808101879, 0.1374666392803192,3452.5174312885974, 4171.86733051715, 8359.391118572223, 0.06508212094459494,124.01618966743986,-5.954794858188336,45.641632503671325,-12.135515094486749,28.925968274296686,-19.979783566488024,18.167781216113358,-21.12987875958078,7.909233524529693,-12.10758361530328,8.639254595558134,Jazz
